R1S01F1  -17.173  -68.028 -286.358
R1S01F2   17.527  -67.933 -286.358
R1S01F3    3.677  -68.336  122.516
R1S02F1  -54.014  -44.911 -286.351
R1S02F2  -25.906  -65.259 -286.351
R1S02F3  -37.254  -57.314  122.523
R1S03F1  -70.182   -4.689 -286.378
R1S03F2  -59.398  -37.671 -286.378
R1S03F3  -63.742  -24.520  122.496
R1S04F1  -59.660   37.556 -286.393
R1S04F2  -70.329    4.537 -286.393
R1S04F3  -65.847   17.643  122.481
R1S05F1  -26.283   65.552 -286.398
R1S05F2  -54.315   45.100 -286.398
R1S05F3  -42.860   52.897  122.476
R1S06F1   17.253   68.595 -286.434
R1S06F2  -17.447   68.521 -286.434
R1S06F3   -3.597   67.954  122.440
R1S07F1   54.092   45.102 -286.489
R1S07F2   26.151   65.679 -286.489
R1S07F3   37.114   57.209  122.385
R1S08F1   70.432    4.967 -286.447
R1S08F2   59.627   37.942 -286.447
R1S08F3   63.781   24.729  122.427
R1S09F1   59.614  -37.276 -286.430
R1S09F2   70.336   -4.275 -286.430
R1S09F3   66.057  -17.447  122.444
R1S10F1   26.181  -65.088 -286.377
R1S10F2   54.215  -44.640 -286.377
R1S10F3   43.224  -53.074  122.497
R2S01F1  -17.220  -95.628 -246.909
R2S01F2   17.480  -95.565 -246.909
R2S01F3    3.630  -95.435  161.965
R2S02F1  -57.130  -78.601 -246.909
R2S02F2  -25.866  -93.656 -246.909
R2S02F3  -38.345  -87.647  161.965
R2S03F1  -85.756  -46.001 -246.892
R2S03F2  -64.121  -73.130 -246.892
R2S03F3  -72.757  -62.302  161.982
R2S04F1  -97.387   -4.260 -246.912
R2S04F2  -89.665  -38.090 -246.912
R2S04F3  -92.747  -24.588  161.962
R2S05F1  -89.625   38.085 -246.987
R2S05F2  -97.347    4.255 -246.987
R2S05F3  -94.265   17.758  161.887
R2S06F1  -64.193   73.237 -246.980
R2S06F2  -85.828   46.108 -246.980
R2S06F3  -77.193   56.936  161.894
R2S07F1  -26.144   93.887 -247.026
R2S07F2  -57.382   78.779 -247.026
R2S07F3  -44.856   84.690  161.848
R2S08F1   17.197   95.994 -247.016
R2S08F2  -17.503   95.931 -247.016
R2S08F3   -3.653   95.783  161.858
R2S09F1   57.036   79.122 -246.920
R2S09F2   25.747   94.126 -246.920
R2S09F3   38.330   88.333  161.954
R2S10F1   85.702   46.420 -247.010
R2S10F2   64.067   73.549 -247.010
R2S10F3   72.703   62.721  161.864
R2S11F1   97.278    4.716 -247.023
R2S11F2   89.556   38.546 -247.023
R2S11F3   92.638   25.044  161.851
R2S12F1   89.596  -37.872 -247.005
R2S12F2   97.318   -4.042 -247.005
R2S12F3   94.236  -17.545  161.869
R2S13F1   64.178  -72.978 -246.979
R2S13F2   85.813  -45.849 -246.979
R2S13F3   77.178  -56.677  161.895
R2S14F1   26.026  -93.604 -246.933
R2S14F2   57.269  -78.504 -246.933
R2S14F3   44.769  -84.470  161.941
R3S01F1  -17.284 -123.231 -207.791
R3S01F2   17.416 -123.147 -207.791
R3S01F3    3.566 -123.147  201.083
R3S02F1  -58.398 -109.867 -207.781
R3S02F2  -25.791 -121.735 -207.781
R3S02F3  -38.805 -116.998  201.093
R3S03F1  -92.488  -83.282 -207.742
R3S03F2  -65.906 -105.587 -207.742
R3S03F3  -76.516  -96.685  201.132
R3S04F1 -115.299  -46.788 -207.733
R3S04F2  -97.949  -76.839 -207.733
R3S04F3 -104.874  -64.845  201.141
R3S05F1 -124.393   -4.548 -207.740
R3S05F2 -118.313  -38.711 -207.740
R3S05F3 -120.680  -25.065  201.134
R3S06F1 -118.428   38.300 -207.741
R3S06F2 -124.406    4.118 -207.741
R3S06F3 -121.895   17.739  201.133
R3S07F1  -98.178   76.526 -207.724
R3S07F2 -115.485   46.450 -207.724
R3S07F3 -108.460   58.387  201.150
R3S08F1  -66.079  105.489 -207.717
R3S08F2  -92.629   83.146 -207.717
R3S08F3  -81.988   92.011  201.157
R3S09F1  -26.043  121.725 -207.730
R3S09F2  -58.630  109.802 -207.730
R3S09F3  -45.583  114.451  201.144
R3S10F1   17.152  123.313 -207.718
R3S10F2  -17.548  123.199 -207.718
R3S10F3   -3.698  123.162  201.156
R3S11F1   58.299  110.029 -207.774
R3S11F2   25.674  121.847 -207.774
R3S11F3   38.664  117.043  201.100
R3S12F1   92.440   83.403 -207.734
R3S12F2   65.821  105.663 -207.734
R3S12F3   76.404   96.728  201.140
R3S13F1  115.313   46.809 -207.766
R3S13F2   97.913   76.832 -207.766
R3S13F3  104.878   64.860  201.108
R3S14F1  124.226    4.612 -207.765
R3S14F2  118.201   38.785 -207.765
R3S14F3  120.606   25.145  201.109
R3S15F1  118.296  -38.236 -207.778
R3S15F2  124.268   -4.053 -207.778
R3S15F3  121.787  -17.679  201.096
R3S16F1   97.974  -76.383 -207.802
R3S16F2  115.324  -46.332 -207.802
R3S16F3  108.399  -58.326  201.072
R3S17F1   65.948 -105.413 -207.802
R3S17F2   92.482  -83.052 -207.802
R3S17F3   81.840  -91.915  201.072
R3S18F1   25.922 -121.622 -207.812
R3S18F2   58.511 -109.704 -207.812
R3S18F3   45.490 -114.424  201.062
R4S01F1  -17.541 -164.537 -150.256
R4S01F2   17.159 -164.563 -150.256
R4S01F3    3.309 -163.996  258.618
R4S02F1  -59.492 -154.382 -150.257
R4S02F2  -25.986 -163.406 -150.257
R4S02F3  -39.220 -159.288  258.617
R4S03F1  -97.248 -133.759 -150.282
R4S03F2  -67.229 -151.165 -150.282
R4S03F3  -79.028 -143.903  258.592
R4S04F1 -128.497 -103.958 -150.271
R4S04F2 -103.998 -128.532 -150.271
R4S04F3 -113.658 -118.605  258.603
R4S05F1 -150.859  -67.172 -150.309
R4S05F2 -133.571  -97.259 -150.309
R4S05F3 -140.501  -85.267  258.565
R4S06F1 -163.009  -25.751 -150.333
R4S06F2 -154.088  -59.284 -150.333
R4S06F3 -157.837  -45.950  258.541
R4S07F1 -164.127   17.320 -150.327
R4S07F2 -164.127  -17.380 -150.327
R4S07F3 -164.127   -3.530  258.547
R4S08F1 -153.995   59.203 -150.378
R4S08F2 -162.976   25.685 -150.378
R4S08F3 -159.391   39.063  258.496
R4S09F1 -133.353   97.095 -150.388
R4S09F2 -150.703   67.044 -150.388
R4S09F3 -143.778   79.038  258.486
R4S10F1 -103.624  128.273 -150.411
R4S10F2 -128.161  103.736 -150.411
R4S10F3 -118.367  113.530  258.463
R4S11F1  -66.842  150.710 -150.443
R4S11F2  -96.893  133.360 -150.443
R4S11F3  -84.899  140.285  258.431
R4S12F1  -25.501  162.922 -150.518
R4S12F2  -59.019  153.941 -150.518
R4S12F3  -45.641  157.525  258.356
R4S13F1   17.657  163.947 -150.494
R4S13F2  -17.043  164.003 -150.494
R4S13F3   -3.193  164.065  258.380
R4S14F1   59.551  153.889 -150.529
R4S14F2   26.033  162.870 -150.529
R4S14F3   39.411  159.285  258.345
R4S15F1   97.338  133.231 -150.454
R4S15F2   67.321  150.639 -150.454
R4S15F3   79.392  143.847  258.420
R4S16F1  128.500  103.551 -150.504
R4S16F2  104.025  128.150 -150.504
R4S16F3  113.907  118.445  258.370
R4S17F1  150.975   66.718 -150.453
R4S17F2  133.668   96.794 -150.453
R4S17F3  140.674   84.846  258.421
R4S18F1  163.121   25.442 -150.406
R4S18F2  154.197   58.975 -150.406
R4S18F3  157.715   45.579  258.468
R4S19F1  164.167  -17.656 -150.396
R4S19F2  164.167   17.044 -150.396
R4S19F3  164.167    3.194  258.478
R4S20F1  154.024  -59.544 -150.348
R4S20F2  163.005  -26.026 -150.348
R4S20F3  159.420  -39.404  258.526
R4S21F1  133.402  -97.415 -150.338
R4S21F2  150.752  -67.364 -150.338
R4S21F3  143.827  -79.358  258.536
R4S22F1  103.800 -128.733 -150.322
R4S22F2  128.364 -104.224 -150.322
R4S22F3  118.237 -113.683  258.552
R4S23F1   66.898 -151.140 -150.283
R4S23F2   96.949 -133.790 -150.283
R4S23F3   84.955 -140.715  258.591
R4S24F1   25.557 -163.316 -150.291
R4S24F2   59.075 -154.335 -150.291
R4S24F3   45.697 -157.919  258.583
