R3S09F1    0.168    0.086   -0.142    0.189    0.237
R3S09F2    0.113    0.128   -0.202    0.171    0.265
R3S09F3    0.158    0.244   -0.228    0.291    0.369
R3S10F1    0.204    0.002   -0.119    0.204    0.236
R3S10F2    0.174    0.116   -0.212    0.209    0.298
R3S10F3    0.217    0.153   -0.277    0.266    0.384
R3S11F1    0.173   -0.083   -0.021    0.192    0.193
R3S11F2    0.195   -0.034   -0.188    0.197    0.273
R3S11F3    0.234    0.028   -0.231    0.236    0.330
R3S12F1    0.148   -0.117   -0.170    0.189    0.254
R3S12F2    0.171   -0.061   -0.159    0.182    0.242
R3S12F3    0.130    0.029   -0.232    0.133    0.268
R3S13F1    0.205   -0.263   -0.028    0.333    0.335
R3S13F2    0.191   -0.125   -0.228    0.228    0.323
R3S13F3    0.131   -0.111   -0.210    0.172    0.271
R3S14F1    0.154   -0.241   -0.115    0.286    0.308
R3S14F2    0.182   -0.229   -0.175    0.292    0.341
R3S14F3    0.349   -0.384   -0.177    0.519    0.548
R3S15F1    0.133   -0.269   -0.193    0.300    0.357
R3S15F2    0.191   -0.245   -0.072    0.311    0.319
R3S15F3    0.258   -0.313   -0.164    0.406    0.437
R3S16F1    0.114   -0.301   -0.173    0.322    0.365
R3S16F2    0.160   -0.287   -0.091    0.329    0.341
R3S16F3    0.160   -0.311   -0.094    0.350    0.362
R3S17F1    0.024   -0.205   -0.178    0.207    0.273
R3S17F2    0.061   -0.271   -0.062    0.278    0.285
R3S17F3    0.121   -0.289   -0.116    0.313    0.334
R3S18F1   -0.042   -0.188   -0.077    0.193    0.208
R3S18F2    0.023   -0.220   -0.137    0.221    0.260
R3S18F3   -0.086   -0.279   -0.113    0.292    0.313
R4S01F1    0.143    0.343    0.163    0.372    0.406
R4S01F2    0.173    0.369    0.116    0.408    0.424
R4S01F3    0.257   -0.201    0.128    0.326    0.350
R4S02F1    0.153    0.293    0.106    0.331    0.348
R4S02F2    0.187    0.330    0.162    0.380    0.413
R4S02F3    0.249   -0.256    0.143    0.357    0.385
R4S03F1    0.088    0.259    0.167    0.273    0.320
R4S03F2    0.072    0.343    0.134    0.350    0.375
R4S03F3    0.083   -0.115    0.185    0.142    0.233
R4S04F1    0.075    0.174    0.185    0.190    0.265
R4S04F2    0.094    0.229    0.124    0.248    0.277
R4S04F3    0.149   -0.093    0.145    0.176    0.228
R4S05F1   -0.048    0.162    0.202    0.169    0.263
R4S05F2    0.016    0.194    0.153    0.195    0.248
R4S05F3    0.123    0.018    0.212    0.124    0.246
R4S06F1   -0.103    0.095    0.219    0.140    0.260
R4S06F2   -0.044    0.113    0.190    0.122    0.226
R4S06F3    0.187   -0.094    0.230    0.209    0.311
R4S07F1   -0.170    0.084    0.217    0.190    0.288
R4S07F2   -0.134    0.114    0.177    0.176    0.250
R4S07F3    0.101   -0.107    0.227    0.147    0.271
R4S08F1   -0.190    0.105    0.275    0.217    0.350
R4S08F2   -0.183    0.101    0.234    0.209    0.314
R4S08F3    0.026   -0.048    0.265    0.055    0.271
R4S09F1   -0.214    0.050    0.216    0.220    0.308
R4S09F2   -0.190    0.036    0.313    0.193    0.368
R4S09F3   -0.103   -0.002    0.275    0.103    0.294
R4S10F1   -0.228    0.133    0.310    0.264    0.407
R4S10F2   -0.213    0.114    0.285    0.241    0.373
R4S10F3   -0.191    0.051    0.277    0.198    0.340
R4S11F1   -0.281    0.176    0.287    0.332    0.439
R4S11F2   -0.239    0.152    0.379    0.283    0.473
R4S11F3   -0.171    0.157    0.302    0.232    0.381
R4S12F1   -0.258    0.201    0.447    0.327    0.554
R4S12F2   -0.270    0.162    0.367    0.314    0.483
R4S12F3   -0.183    0.144    0.381    0.233    0.446
R4S13F1   -0.378    0.248    0.351    0.452    0.572
R4S13F2   -0.378    0.192    0.417    0.424    0.595
R4S13F3   -0.165    0.129    0.353    0.209    0.410
R4S14F1   -0.348    0.298    0.447    0.458    0.640
R4S14F2   -0.352    0.261    0.442    0.438    0.622
R4S14F3   -0.186    0.104    0.338    0.213    0.400
R4S15F1   -0.303    0.342    0.347    0.457    0.574
R4S15F2   -0.327    0.278    0.289    0.429    0.517
R4S15F3   -0.160    0.003    0.366    0.160    0.399
R4S16F1   -0.180    0.336    0.468    0.381    0.604
R4S16F2   -0.289    0.321    0.309    0.432    0.531
R4S16F3   -0.126   -0.019    0.376    0.128    0.397
R4S17F1   -0.147    0.429    0.221    0.453    0.504
R4S17F2   -0.231    0.476    0.481    0.529    0.715
R4S17F3   -0.100    0.061    0.298    0.117    0.320
R4S18F1   -0.072    0.456    0.284    0.462    0.542
R4S18F2   -0.121    0.408    0.273    0.425    0.505
R4S18F3    0.056    0.013    0.301    0.058    0.306
R4S19F1   -0.045    0.456    0.317    0.458    0.557
R4S19F2   -0.081    0.476    0.286    0.483    0.561
R4S19F3    0.211   -0.015    0.224    0.212    0.308
R4S20F1    0.015    0.446    0.248    0.447    0.511
R4S20F2   -0.002    0.470    0.269    0.470    0.542
R4S20F3    0.247   -0.053    0.166    0.253    0.302
R4S21F1    0.059    0.441    0.237    0.445    0.504
R4S21F2    0.065    0.495    0.210    0.499    0.542
R4S21F3    0.236   -0.059    0.206    0.243    0.319
R4S22F1    0.094    0.418    0.213    0.429    0.479
R4S22F2    0.078    0.457    0.208    0.463    0.508
R4S22F3    0.213   -0.073    0.184    0.225    0.291
R4S23F1    0.146    0.415    0.216    0.440    0.490
R4S23F2    0.134    0.439    0.124    0.459    0.475
R4S23F3    0.243   -0.049    0.149    0.247    0.289
R4S24F1    0.183    0.380    0.216    0.422    0.474
R4S24F2    0.155    0.399    0.127    0.428    0.447
R4S24F3    0.205   -0.105    0.170    0.230    0.286
