R4S04F2   -0.069    0.069   -0.027
R4S04F3    0.120   -0.120   -0.006
R4S05F1   -0.035    0.062    0.013
R4S05F2   -0.033    0.058   -0.036
R4S05F3    0.069   -0.120    0.023
R4S06F1   -0.021    0.082    0.006
R4S06F2   -0.022    0.085   -0.023
R4S06F3    0.044   -0.166    0.017
R4S07F1   -0.102    0.054    0.010
R4S07F2   -0.066    0.084   -0.030
R4S07F3    0.169   -0.137    0.020
R4S08F1   -0.075    0.052    0.017
R4S08F2   -0.068    0.048   -0.024
R4S08F3    0.141   -0.101    0.007
R4S09F1   -0.045    0.022   -0.052
R4S09F2   -0.021    0.008    0.045
R4S09F3    0.066   -0.030    0.007
R4S10F1   -0.017    0.034    0.019
R4S10F2   -0.002    0.015   -0.006
R4S10F3    0.020   -0.048   -0.014
R4S11F1   -0.051    0.014   -0.036
R4S11F2   -0.009   -0.010    0.056
R4S11F3    0.059   -0.005   -0.021
R4S12F1   -0.021    0.032    0.049
R4S12F2   -0.033   -0.007   -0.031
R4S12F3    0.054   -0.025   -0.017
R4S13F1   -0.071   -0.000   -0.023
R4S13F2   -0.071   -0.000    0.043
R4S13F3    0.142   -0.001   -0.021
R4S14F1   -0.053    0.077    0.038
R4S14F2   -0.057    0.040    0.033
R4S14F3    0.109   -0.117   -0.071
R4S15F1   -0.088    0.051    0.013
R4S15F2   -0.078    0.045   -0.045
R4S15F3    0.166   -0.097    0.032
R4S16F1   -0.052    0.052    0.084
R4S16F2   -0.099    0.099   -0.075
R4S16F3    0.152   -0.152   -0.008
R4S17F1   -0.044    0.075   -0.112
R4S17F2   -0.085    0.147    0.148
R4S17F3    0.127   -0.222   -0.035
R4S18F1   -0.042    0.160   -0.002
R4S18F2   -0.034    0.127   -0.013
R4S18F3    0.077   -0.286    0.015
R4S19F1   -0.073    0.150    0.041
R4S19F2   -0.109    0.170    0.010
R4S19F3    0.183   -0.321   -0.052
R4S20F1   -0.071    0.158    0.020
R4S20F2   -0.088    0.182    0.041
R4S20F3    0.161   -0.341   -0.062
R4S21F1   -0.061    0.149    0.019
R4S21F2   -0.055    0.203   -0.008
R4S21F3    0.116   -0.351   -0.012
R4S22F1    0.059    0.057    0.011
R4S22F2    0.070    0.068    0.006
R4S22F3   -0.128   -0.127   -0.018
R4S23F1   -0.028    0.147    0.053
R4S23F2   -0.040    0.171   -0.039
R4S23F3    0.069   -0.317   -0.014
R4S24F1    0.002    0.155    0.045
R4S24F2   -0.026    0.174   -0.044
R4S24F3    0.024   -0.330   -0.001
