R1S01   -0.000   -0.000   -0.000    0.312    0.000    0.950    9.233
R1S02    0.000    0.000   -0.000    0.243   -0.177    0.954    5.742
R1S03   -0.000    0.000    0.000    0.017   -0.052    0.999    5.967
R1S04    0.000    0.000    0.000    0.103    0.317    0.943    5.573
R1S05   -0.000    0.000    0.000    0.395    0.287    0.873    7.318
R1S06    0.000   -0.000    0.000    0.565   -0.000    0.825    8.332
R1S07   -0.000   -0.000    0.000    0.097   -0.071   -0.993   20.942
R1S08   -0.000    0.000    0.000    0.050   -0.154    0.987    8.163
R1S09   -0.000   -0.000   -0.000    0.000    0.000    0.000    0.000
R1S10    0.000   -0.000    0.000    0.326    0.237    0.915    6.586
R2S01   -0.000    0.000    0.000   -0.205    0.000    0.979    5.967
R2S02    0.000    0.000    0.000    0.000    0.000    0.000    0.000
R2S03   -0.000   -0.000    0.000    0.000    0.000    0.000    0.000
R2S04    0.000    0.000    0.000    0.000    0.000    0.000    0.000
R2S05    0.000    0.000   -0.000    0.000    0.000    0.000    0.000
R2S06    0.000   -0.000    0.000    0.000    0.000    0.000    0.000
R2S07   -0.000    0.000   -0.000    0.171    0.082    0.982    5.517
R2S08   -0.000    0.000    0.000    0.227    0.000    0.974    6.024
R2S09    0.000   -0.000   -0.000   -0.274    0.132    0.953    5.630
R2S10   -0.000    0.000    0.000    0.000    0.000    0.000    0.000
R2S11    0.000    0.000    0.000    0.000    0.000    0.000    0.000
R2S12    0.000    0.000    0.000    0.000    0.000    0.000    0.000
R2S13    0.000    0.000   -0.000    0.000    0.000    0.000    0.000
R2S14    0.000   -0.000    0.000   -0.104   -0.050    0.993    4.617
R3S01   -0.000    0.000   -0.000   -0.034   -0.000    0.999    7.825
R3S02   -0.000    0.000   -0.000    0.000    0.000    0.000    0.000
R3S03    0.000   -0.000   -0.000    0.000    0.000    0.000    0.000
R3S04   -0.000    0.000    0.000    0.000    0.000    0.000    0.000
R3S05    0.000   -0.000    0.000   -0.016    0.092    0.996    5.123
R3S06   -0.000    0.000    0.000    0.038    0.213    0.976    4.616
R3S07    0.000    0.000    0.000    0.113    0.196    0.974    4.729
R3S08    0.000   -0.000   -0.000    0.090    0.075    0.993    4.616
R3S09    0.000   -0.000    0.000    0.157    0.057    0.986    5.517
R3S10    0.000    0.000    0.000    0.061   -0.000    0.998   10.640
R3S11   -0.000   -0.000    0.000    0.137   -0.050    0.989    5.010
R3S12   -0.000    0.000    0.000    0.073   -0.061    0.995    5.405
R3S13   -0.000   -0.000   -0.000   -0.017    0.029    0.999    5.291
R3S14    0.000    0.000    0.000    0.000    0.000    0.000    0.000
R3S15    0.000   -0.000    0.000   -0.027   -0.152    0.988    5.067
R3S16   -0.000    0.000   -0.000    0.000    0.000    0.000    0.000
R3S17   -0.000   -0.000    0.000   -0.071   -0.059    0.996    6.924
R3S18   -0.000   -0.000    0.000   -0.059   -0.022    0.998    4.898
R4S01   -0.000    0.000   -0.000   -0.877    0.000   -0.481    5.010
R4S02    0.000   -0.000    0.000   -0.689    0.185   -0.701    5.911
R4S03   -0.000    0.000   -0.000   -0.374    0.216   -0.902    6.642
R4S04    0.000    0.000    0.000   -0.185    0.185   -0.965    5.067
R4S05    0.000   -0.000    0.000    0.020   -0.035   -0.999    6.643
R4S06    0.000    0.000   -0.000    0.067   -0.249   -0.966    5.968
R4S07    0.000    0.000    0.000    0.000    0.000    0.000    0.000
R4S08   -0.000   -0.000    0.000    0.000    0.000    0.000    0.000
R4S09   -0.000    0.000    0.000    0.000    0.000    0.000    0.000
R4S10    0.000    0.000   -0.000    0.000    0.000    0.000    0.000
R4S11   -0.000   -0.000   -0.000    0.000    0.000    0.000    0.000
R4S12    0.000   -0.000    0.000    0.000    0.000    0.000    0.000
R4S13    0.000   -0.000   -0.000   -0.128    0.000   -0.992    5.235
R4S14   -0.000   -0.000    0.000    0.000    0.000    0.000    0.000
R4S15   -0.000   -0.000    0.000   -0.192    0.111   -0.975    6.418
R4S16    0.000   -0.000    0.000   -0.108    0.108   -0.988    8.276
R4S17   -0.000   -0.000    0.000   -0.096    0.166   -0.981    4.672
R4S18    0.000    0.000    0.000    0.017   -0.063   -0.998    5.573
R4S19    0.000   -0.000   -0.000    0.000    0.000    0.000    0.000
R4S20    0.000   -0.000   -0.000    0.000    0.000    0.000    0.000
R4S21    0.000    0.000   -0.000    0.000    0.000    0.000    0.000
R4S22    0.000   -0.000   -0.000   -0.498   -0.498   -0.710    5.123
R4S23    0.000    0.000    0.000    0.000    0.000    0.000    0.000
R4S24   -0.000   -0.000    0.000    0.000    0.000    0.000    0.000
